Sim_SUOG,Sim_IC,Sim_Resnik,Sim_Wu_Palmer,Sim_Lin
0.72,0.84,1.16,0.88,0.92
0.72,0.84,1.16,0.88,0.92
0.72,0.84,1.16,0.88,0.92
0.72,0.84,1.16,0.88,0.92
0.72,0.84,1.16,0.88,0.92
0.72,0.84,1.16,0.88,0.92
0.72,0.84,1.16,0.88,0.92
0.72,0.84,1.16,0.88,0.92
0.72,0.84,1.16,0.88,0.92
0.72,0.84,1.16,0.88,0.92
0.72,0.84,1.16,0.88,0.92
0.72,0.84,1.16,0.88,0.92
0.72,0.84,1.16,0.88,0.92
0.72,0.84,1.16,0.88,0.92
0.72,0.84,1.16,0.88,0.92
0.71,0.84,1.16,0.88,0.92
0.71,0.84,1.16,0.88,0.92
0.71,0.84,1.16,0.88,0.92
0.71,0.84,1.16,0.88,0.92
0.71,0.84,1.16,0.88,0.92
0.71,0.84,1.16,0.88,0.92
0.71,0.84,1.16,0.88,0.92
0.71,0.84,1.16,0.88,0.92
0.71,0.84,1.16,0.88,0.92
0.71,0.84,1.16,0.88,0.92
0.71,0.84,1.16,0.88,0.92
0.71,0.84,1.16,0.88,0.92
0.71,0.84,1.16,0.88,0.92
0.71,0.84,1.16,0.88,0.92
0.71,0.84,1.16,0.88,0.92
0.71,0.84,1.16,0.88,0.92
0.71,0.84,1.16,0.88,0.92
0.71,0.84,1.16,0.88,0.92
0.71,0.84,1.16,0.88,0.92
0.71,0.84,1.16,0.87,0.92
0.71,0.84,1.16,0.87,0.92
0.71,0.84,1.16,0.87,0.92
0.71,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.7,0.84,1.16,0.87,0.92
0.69,0.84,1.16,0.87,0.92
0.69,0.84,1.16,0.87,0.92
0.69,0.84,1.16,0.87,0.92
0.69,0.84,1.16,0.87,0.92
0.69,0.84,1.16,0.87,0.92
0.69,0.84,1.16,0.87,0.92
0.69,0.84,1.16,0.87,0.92
0.69,0.84,1.16,0.87,0.92
0.69,0.84,1.16,0.87,0.92
0.69,0.84,1.16,0.87,0.92
0.69,0.84,1.16,0.87,0.92
0.69,0.84,1.16,0.87,0.92
0.69,0.84,1.16,0.87,0.92
0.69,0.84,1.16,0.87,0.92
0.69,0.84,1.16,0.87,0.92
0.69,0.84,1.16,0.86,0.92
0.69,0.84,1.16,0.86,0.92
0.69,0.84,1.16,0.86,0.92
0.69,0.84,1.16,0.86,0.92
0.69,0.84,1.16,0.86,0.92
0.69,0.84,1.16,0.86,0.92
0.69,0.84,1.16,0.86,0.92
0.69,0.84,1.16,0.86,0.92
0.69,0.84,1.16,0.86,0.92
0.69,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
